id,domaine,sous_type,niveau_1_5,temps_conseille_sec,mode_reponse,consigne_examinateur,stimulus,choix_A,choix_B,choix_C,choix_D,reponse_attendue,explication_correction,bareme,construct_cible,tags,source_cadre,avertissement
RF-098,Raisonnement fluide,Matrices logiques textuelles,2,55,QCM,Chaque ligne suit la même règle. Trouvez l'élément manquant.,"Matrice de signes: ligne 1: +, -, + ; ligne 2: -, +, - ; ligne 3: +, -, ?",+,-,0,×,A,Le motif alterne en damier; la troisième case de la ligne 3 est +.,"1 point si réponse exacte, 0 sinon.",Induction analogique et relations abstraites,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-099,Raisonnement fluide,Matrices logiques textuelles,2,55,QCM,Chaque ligne suit la même règle. Trouvez l'élément manquant.,"Lignes: [8, 4, 2], [18, 6, 3], [32, 8, ?]. Règle: premier ÷ deuxième = troisième.",2,3,"3,5",4,D,32 ÷ 8 = 4.,"1 point si réponse exacte, 0 sinon.",Induction analogique et relations abstraites,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-100,Raisonnement fluide,Matrices logiques textuelles,4,55,QCM,Chaque ligne suit la même règle. Trouvez l'élément manquant.,"Lignes: [2, 8, 4], [3, 27, 9], [4, 64, ?]. Règle: deuxième = premier × troisième.",12,16,20,24,B,"64 ÷ 4 = 16; la ligne est 4, 64, 16.","1 point si réponse exacte, 0 sinon.",Induction analogique et relations abstraites,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-101,Raisonnement fluide,Balances et équations,3,55,QCM,Traitez la balance comme une équation. Trouvez la valeur demandée.,2 triangles = 1 carré. 1 carré + 1 triangle = 12. Combien vaut le carré ?,4,8,10,12,B,"Si carré=2T, alors 2T+T=12, donc T=4 et carré=8.","1 point si réponse exacte, 0 sinon.",Raisonnement quantitatif relationnel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-102,Raisonnement fluide,Balances et équations,3,55,QCM,Traitez la balance comme une équation. Trouvez la valeur demandée.,3 cercles = 1 losange. 1 losange + 1 cercle = 20. Combien vaut le cercle ?,5,6,10,15,A,"Losange=3C; 3C+C=20, donc C=5.","1 point si réponse exacte, 0 sinon.",Raisonnement quantitatif relationnel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-103,Raisonnement fluide,Balances et équations,3,55,QCM,Traitez la balance comme une équation. Trouvez la valeur demandée.,2 étoiles + 1 cercle = 13. Le cercle vaut étoile + 4. Combien vaut l'étoile ?,2,"2,5",3,4,C,"2E+(E+4)=13, donc 3E=9 et E=3.","1 point si réponse exacte, 0 sinon.",Raisonnement quantitatif relationnel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-104,Raisonnement fluide,Balances et équations,2,55,QCM,Traitez la balance comme une équation. Trouvez la valeur demandée.,3 carrés = 2 cercles. 1 cercle vaut 6. Combien vaut un carré ?,3,4,6,9,B,2 cercles valent 12; 3 carrés valent 12; un carré vaut 4.,"1 point si réponse exacte, 0 sinon.",Raisonnement quantitatif relationnel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-105,Raisonnement fluide,Balances et équations,2,55,QCM,Traitez la balance comme une équation. Trouvez la valeur demandée.,2A + 3 = 11. A + B = 9. Combien vaut B ?,3,4,5,6,C,2A=8 donc A=4; B=9-4=5.,"1 point si réponse exacte, 0 sinon.",Raisonnement quantitatif relationnel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-106,Raisonnement fluide,Balances et équations,3,55,QCM,Traitez la balance comme une équation. Trouvez la valeur demandée.,X + Y = 17 et X - Y = 5. Combien vaut X ?,5,6,10,11,D,"En additionnant les équations: 2X=22, donc X=11.","1 point si réponse exacte, 0 sinon.",Raisonnement quantitatif relationnel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-107,Raisonnement fluide,Balances et équations,2,55,QCM,Traitez la balance comme une équation. Trouvez la valeur demandée.,4 pentagones = 2 losanges. 1 losange vaut 10. Combien vaut un pentagone ?,5,10,15,20,A,2 losanges valent 20; 4 pentagones valent 20; un pentagone vaut 5.,"1 point si réponse exacte, 0 sinon.",Raisonnement quantitatif relationnel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-108,Raisonnement fluide,Balances et équations,2,55,QCM,Traitez la balance comme une équation. Trouvez la valeur demandée.,2 livres équilibrent 1 livre + 3 kg. Combien pèse un livre ?,1 kg,2 kg,3 kg,6 kg,C,"En retirant 1 livre de chaque côté, 1 livre = 3 kg.","1 point si réponse exacte, 0 sinon.",Raisonnement quantitatif relationnel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-109,Raisonnement fluide,Balances et équations,3,55,QCM,Traitez la balance comme une équation. Trouvez la valeur demandée.,3 cubes = 2 cubes + 4 billes. Une bille vaut 2 g. Combien vaut un cube ?,2 g,4 g,6 g,8 g,D,Un cube = 4 billes = 8 g.,"1 point si réponse exacte, 0 sinon.",Raisonnement quantitatif relationnel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-110,Raisonnement fluide,Balances et équations,3,55,QCM,Traitez la balance comme une équation. Trouvez la valeur demandée.,2A + B = 16 et A + B = 11. Combien vaut B ?,5,6,7,8,B,Soustraction: A=5; donc B=11-5=6.,"1 point si réponse exacte, 0 sinon.",Raisonnement quantitatif relationnel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-111,Raisonnement fluide,Logique déductive,3,60,QCM,"Évaluez la validité logique de la conclusion, sans ajouter d'information non donnée.",Tous les dax sont des lons. Aucun lon n'est mer. Conclusion: aucun dax n'est mer.,Valide,Invalide,Valide seulement si certains mers sont dax,Impossible car les mots sont inventés,A,"Si tout dax est lon et si aucun lon n'est mer, aucun dax ne peut être mer.","1 point si réponse exacte, 0 sinon.",Déduction formelle et inhibition des réponses intuitives,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-112,Raisonnement fluide,Logique déductive,4,60,QCM,"Évaluez la validité logique de la conclusion, sans ajouter d'information non donnée.",Tous les A sont B. Certains B sont C. Conclusion: certains A sont C.,Valide,Non déductible,Contradictoire,Toujours faux car A et C sont des lettres,B,Les B qui sont C peuvent être hors du sous-ensemble A.,"1 point si réponse exacte, 0 sinon.",Déduction formelle et inhibition des réponses intuitives,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-113,Raisonnement fluide,Logique déductive,4,60,QCM,"Évaluez la validité logique de la conclusion, sans ajouter d'information non donnée.","Si la règle P est vraie, alors Q est vraie. Q est fausse. Que peut-on conclure sur P ?",P est vraie,On ne sait rien,P est fausse,Q devient vraie,C,Modus tollens: P→Q et non-Q impliquent non-P.,"1 point si réponse exacte, 0 sinon.",Déduction formelle et inhibition des réponses intuitives,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-114,Raisonnement fluide,Logique déductive,3,60,QCM,"Évaluez la validité logique de la conclusion, sans ajouter d'information non donnée.","Si un code est valide, il contient au moins un chiffre. Ce code ne contient aucun chiffre. Conclusion ?",Il est valide,Il n'est pas valide,Il est plus court,Il contient deux chiffres,B,Absence d'une condition nécessaire: le code ne peut pas être valide.,"1 point si réponse exacte, 0 sinon.",Déduction formelle et inhibition des réponses intuitives,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-115,Raisonnement fluide,Logique déductive,5,60,QCM,"Évaluez la validité logique de la conclusion, sans ajouter d'information non donnée.",Exactement une des trois affirmations est vraie: A dit 'B est vraie'; B dit 'C est vraie'; C dit 'A est fausse'. Quelle affirmation est vraie ?,A,B,C,Aucune,C,"Si C est vraie, A est fausse et donc B est fausse; exactement une vraie. Les autres hypothèses échouent.","1 point si réponse exacte, 0 sinon.",Déduction formelle et inhibition des réponses intuitives,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-116,Raisonnement fluide,Logique déductive,3,60,QCM,"Évaluez la validité logique de la conclusion, sans ajouter d'information non donnée.","Dans une boîte, tous les jetons rouges sont grands. Un jeton est grand. Peut-on conclure qu'il est rouge ?","Oui, forcément","Non, il peut être grand sans être rouge","Oui, s'il est dans la boîte","Non, car aucun jeton rouge n'est grand",B,"La règle donne rouge→grand, pas grand→rouge.","1 point si réponse exacte, 0 sinon.",Déduction formelle et inhibition des réponses intuitives,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-117,Raisonnement fluide,Logique déductive,2,60,QCM,"Évaluez la validité logique de la conclusion, sans ajouter d'information non donnée.","Trois interrupteurs A, B, C: exactement deux sont allumés. A est éteint. Que sait-on ?",B et C sont allumés,B seul est allumé,C seul est allumé,A est allumé,A,"S'il faut exactement deux allumés et A est éteint, les deux autres doivent être allumés.","1 point si réponse exacte, 0 sinon.",Déduction formelle et inhibition des réponses intuitives,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-118,Raisonnement fluide,Logique déductive,2,60,QCM,"Évaluez la validité logique de la conclusion, sans ajouter d'information non donnée.",On sait: si N alors O; si O alors P. N est vrai. Conclusion ?,P est faux,O est faux,Rien ne suit,P est vrai,D,Chaînage logique: N→O→P.,"1 point si réponse exacte, 0 sinon.",Déduction formelle et inhibition des réponses intuitives,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-119,Raisonnement fluide,Logique déductive,2,60,QCM,"Évaluez la validité logique de la conclusion, sans ajouter d'information non donnée.","Un classement respecte: L avant M, M avant N, et N avant O. Quelle proposition est certaine ?",O avant L,L avant O,N avant M,M après O,B,La relation transitive donne L<M<N<O.,"1 point si réponse exacte, 0 sinon.",Déduction formelle et inhibition des réponses intuitives,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-120,Raisonnement fluide,Logique déductive,3,60,QCM,"Évaluez la validité logique de la conclusion, sans ajouter d'information non donnée.","Deux règles: soit X soit Y, mais pas les deux. Y est vrai. Conclusion ?",X est vrai,X et Y sont vrais,X est faux,On ne peut rien dire,C,"Un 'ou exclusif' interdit que les deux soient vrais; si Y est vrai, X est faux.","1 point si réponse exacte, 0 sinon.",Déduction formelle et inhibition des réponses intuitives,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-121,Mémoire de travail,Empan envers,1,35,Réponse libre stricte,Lisez mentalement la suite puis restituez-la à l'envers. Réponse attendue avec des tirets.,7-2-9-4,,,,,4-9-2-7,La suite est simplement renversée: 4-9-2-7.,"1 point si réponse exacte, 0 sinon.",Maintien et manipulation séquentielle,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-122,Mémoire de travail,Empan envers,2,40,Réponse libre stricte,Lisez mentalement la suite puis restituez-la à l'envers. Réponse attendue avec des tirets.,3-8-1-6-5,,,,,5-6-1-8-3,La suite est simplement renversée: 5-6-1-8-3.,"1 point si réponse exacte, 0 sinon.",Maintien et manipulation séquentielle,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-123,Mémoire de travail,Empan envers,3,45,Réponse libre stricte,Lisez mentalement la suite puis restituez-la à l'envers. Réponse attendue avec des tirets.,9-4-2-7-1-8,,,,,8-1-7-2-4-9,La suite est simplement renversée: 8-1-7-2-4-9.,"1 point si réponse exacte, 0 sinon.",Maintien et manipulation séquentielle,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-124,Mémoire de travail,Empan envers,4,50,Réponse libre stricte,Lisez mentalement la suite puis restituez-la à l'envers. Réponse attendue avec des tirets.,5-1-9-3-8-2-6,,,,,6-2-8-3-9-1-5,La suite est simplement renversée: 6-2-8-3-9-1-5.,"1 point si réponse exacte, 0 sinon.",Maintien et manipulation séquentielle,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-125,Mémoire de travail,Empan envers,5,55,Réponse libre stricte,Lisez mentalement la suite puis restituez-la à l'envers. Réponse attendue avec des tirets.,8-6-2-9-4-7-3-1,,,,,1-3-7-4-9-2-6-8,La suite est simplement renversée: 1-3-7-4-9-2-6-8.,"1 point si réponse exacte, 0 sinon.",Maintien et manipulation séquentielle,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-126,Mémoire de travail,Empan envers,2,40,Réponse libre stricte,Lisez mentalement la suite puis restituez-la à l'envers. Réponse attendue avec des tirets.,2-5-8-1-4,,,,,4-1-8-5-2,La suite est simplement renversée: 4-1-8-5-2.,"1 point si réponse exacte, 0 sinon.",Maintien et manipulation séquentielle,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-127,Mémoire de travail,Empan envers,3,45,Réponse libre stricte,Lisez mentalement la suite puis restituez-la à l'envers. Réponse attendue avec des tirets.,6-3-7-9-2-5,,,,,5-2-9-7-3-6,La suite est simplement renversée: 5-2-9-7-3-6.,"1 point si réponse exacte, 0 sinon.",Maintien et manipulation séquentielle,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-128,Mémoire de travail,Empan envers,4,50,Réponse libre stricte,Lisez mentalement la suite puis restituez-la à l'envers. Réponse attendue avec des tirets.,4-8-1-5-9-2-7,,,,,7-2-9-5-1-8-4,La suite est simplement renversée: 7-2-9-5-1-8-4.,"1 point si réponse exacte, 0 sinon.",Maintien et manipulation séquentielle,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-129,Mémoire de travail,Empan envers,5,55,Réponse libre stricte,Lisez mentalement la suite puis restituez-la à l'envers. Réponse attendue avec des tirets.,1-7-3-6-8-4-9-2,,,,,2-9-4-8-6-3-7-1,La suite est simplement renversée: 2-9-4-8-6-3-7-1.,"1 point si réponse exacte, 0 sinon.",Maintien et manipulation séquentielle,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-130,Mémoire de travail,Empan envers,4,50,Réponse libre stricte,Lisez mentalement la suite puis restituez-la à l'envers. Réponse attendue avec des tirets.,9-2-6-1-8-5-3,,,,,3-5-8-1-6-2-9,La suite est simplement renversée: 3-5-8-1-6-2-9.,"1 point si réponse exacte, 0 sinon.",Maintien et manipulation séquentielle,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-131,Mémoire de travail,Empan ordre croissant,1,40,Réponse libre stricte,Réorganisez les chiffres dans l'ordre croissant. Réponse attendue avec des tirets.,6-1-9-3,,,,,1-3-6-9,Les chiffres sont triés du plus petit au plus grand: 1-3-6-9.,"1 point si réponse exacte, 0 sinon.",Mémoire de travail et ordonnancement,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-132,Mémoire de travail,Empan ordre croissant,2,45,Réponse libre stricte,Réorganisez les chiffres dans l'ordre croissant. Réponse attendue avec des tirets.,4-8-2-7-1,,,,,1-2-4-7-8,Les chiffres sont triés du plus petit au plus grand: 1-2-4-7-8.,"1 point si réponse exacte, 0 sinon.",Mémoire de travail et ordonnancement,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
